entity_id,trip_id,route_id,vehicle_id,latitude,longitude,current_stop_id,current_stop_name,current_stop_sequence,current_status,route_type,timestamp,current_stop_lat,current_stop_lon
123,11312_4747,63,2408,51.71900939941406,19.43851089477539,685,Pabianicka-3 Maja,15,2,autobus,1764788360,51.71877,19.4373
124,11312_9167,93,2409,51.705509185791016,19.48242950439453,923,Matek Polskich-ICZMP szpital,18,0,autobus,1764788358,51.70553,19.48238
125,11312_4631,62,2410,51.710289001464844,19.44083023071289,196,Demokratyczna-Starorudzka,17,2,autobus,1764788356,51.70983,19.43708
126,11312_6384,75A,2411,51.71168899536133,19.465190887451172,192,Demokratyczna-Bartoszewskiego,15,1,autobus,1764788364,51.71169,19.46361
127,11312_7693,82A,2413,51.73820877075195,19.608489990234375,1747,Gajcego-Zakładowa NŻ,6,0,autobus,1764788364,51.7382,19.60841
128,11312_9692,97B,2414,51.77421951293945,19.32632064819336,2078,Niesięcin-Aleksandrowska NŻ,2,2,autobus,1764788362,51.77418,19.32557
129,11312_5873,70,2485,51.73360061645508,19.488630294799805,76,Tatrzańska-Dąbrowskiego,11,2,autobus,1764788364,51.73819,19.4949
130,11312_9260,94,2488,51.74264907836914,19.326929092407227,3093,1-go Maja 21 NŻ,15,0,autobus,1764788356,51.74256,19.3271
131,11312_5385,69A,2491,51.729251861572266,19.47987937927246,2861,Kilińskiego-Dw. Łódź Chojny,23,2,autobus,1764788356,51.72784,19.48022
132,11312_3055,52,2492,51.72779846191406,19.446950912475586,2563,Jana Pawła II-Pabianicka,12,1,autobus,1764788360,51.72775,19.44704
133,11312_5315,69A,2493,51.736541748046875,19.44339942932129,846,Obywatelska-Jana Pawła II,33,2,autobus,1764788358,51.73656,19.44115
134,11312_9235,94,2494,51.747440338134766,19.325389862060547,3098,Jana Pawła II-pl. Kościuszki (Konst.),13,0,autobus,1764788362,51.74777,19.32494
135,11312_5328,69A,2497,51.729061126708984,19.457719802856445,912,Paderewskiego-Zaolziańska,29,2,autobus,1764788362,51.7296,19.45661
